City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
74,Rapid Valley,US,82.15,few clouds,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
75,Aloleng,PH,82.65,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
76,Ribeira Grande,PT,73.96,clear sky,38.5167,-28.7,Quinta da Meia Eira
77,Kirakira,SB,83.34,broken clouds,-10.4544,161.9205,SanBiz Lodge
79,Otradnoye,RU,67.03,overcast clouds,59.7775,30.8181,Baza otdikha Petrushinsky Khutor
80,Cockburn Town,TC,82.72,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
81,Port Macquarie,AU,65.89,clear sky,-31.4333,152.9167,Rydges Port Macquarie
87,Atuona,PF,77.45,few clouds,-9.8,-139.0333,Villa Enata
88,Sola,VU,80.69,few clouds,-13.8833,167.55,Leumerus Bungalows
90,Norman Wells,CA,66.24,scattered clouds,65.282,-126.8329,Heritage Hotel
92,Finale Ligure,IT,78.42,clear sky,44.1695,8.3436,San Giuseppe
94,Iquitos,PE,71.64,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
95,Qrendi,MT,79.11,few clouds,35.8347,14.4583,M'Anglu
98,Ampanihy,MG,65.08,overcast clouds,-24.7,44.75,Angora Hotel
101,Faanui,PF,78.08,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
102,Anadyr,RU,66.7,clear sky,64.75,177.4833,Отке17.ру — жильё для командированных
103,Khani,GE,71.17,broken clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
105,Arauca,CO,70.57,overcast clouds,7.0847,-70.7591,Hotel Verano Plaza
106,Mizdah,LY,71.53,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
108,Camacha,PT,67.42,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
114,Petropavlovsk-Kamchatskiy,RU,66.79,broken clouds,53.0452,158.6483,The Hotel Petropavlovsky
116,Raymond,US,68.02,few clouds,43.9015,-70.4703,Migis Lodge at Sebago Lake
118,Mpulungu,ZM,69.73,clear sky,-8.7623,31.1141,Chela moche guest house
119,Auki,SB,84.92,scattered clouds,-8.7676,160.7034,Auki Motel
122,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
123,Roma,US,73.87,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
125,Daniel Flores,CR,70.7,overcast clouds,9.3355,-83.6694,Hotel San Isidro
127,Kapaa,US,84.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
128,Shenjiamen,CN,84.54,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
131,Kourou,GF,79.11,overcast clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
134,Oktyabrskoye,RU,73.54,few clouds,43.0645,44.7417,Prolesok Mini-hotel
135,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
137,Quelimane,MZ,67.95,broken clouds,-17.8786,36.8883,Hotel Flamingo
138,Bambous Virieux,MU,74.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
145,Altay,CN,81.91,scattered clouds,47.8667,88.1167,Jinqiao Hotel
147,Carutapera,BR,75.52,broken clouds,-1.195,-46.02,Lidera
148,Bengkulu,ID,83.14,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
149,Mahebourg,MU,74.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
152,Altamira,BR,70.61,few clouds,-3.2033,-52.2064,Requinte Hotel
153,Saint-Philippe,RE,75.22,clear sky,-21.3585,55.7679,Le four à pain
154,Lexington Park,US,80.65,clear sky,38.2668,-76.4538,TownePlace Suites by Marriott Lexington Park Patuxent River Naval Air Station
157,Kahului,US,78.84,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
158,Sao Filipe,CV,75.65,light rain,14.8961,-24.4956,Hotel Xaguate
159,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
160,Pangai,TO,78.91,few clouds,-19.8,-174.35,Ha'apai Beach Resort
161,Waverly,US,69.96,clear sky,42.7392,-84.6208,"Crowne Plaza Lansing West, an IHG Hotel"
162,Vila Franca Do Campo,PT,66.61,few clouds,37.7167,-25.4333,Pestana Bahia Praia
166,Recas,RO,69.82,clear sky,45.7989,21.5008,Hotel Roco
168,Takoradi,GH,72.32,scattered clouds,4.8845,-1.7554,Raybow International Hotel
169,Manakara,MG,69.73,light rain,-22.1333,48.0167,La Residence Manakara
174,Camopi,GF,70.43,broken clouds,3.1655,-52.3158,La pousada
179,Katobu,ID,84.42,overcast clouds,-4.9408,122.5276,La Ode Husein
180,Groton,US,71.78,overcast clouds,41.3501,-72.0784,Red Roof Inn Mystic - New London
181,Yeppoon,AU,73.18,broken clouds,-23.1333,150.7333,Villa Mar Colina
183,Balikpapan,ID,81.59,scattered clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
186,Nicoya,CR,74.79,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
187,Veraval,IN,84.65,overcast clouds,20.9,70.3667,Lords Inn Somnath
188,Jizan,SA,85.14,overcast clouds,17.3333,42.6667,شهدان. ابوالحجر
189,Liverpool,GB,67.6,heavy intensity rain,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
191,Urucara,BR,72.37,broken clouds,-2.5364,-57.76,Pousada Maria Bonita
192,Acajutla,SV,78.87,light rain,13.5928,-89.8275,Laureles
193,San Ramon,US,74.82,clear sky,37.7799,-121.978,San Ramon Marriott
199,Sabancuy,MX,77.0,overcast clouds,18.9667,-91.1833,pulpo
201,Namatanai,PG,82.26,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
203,Ponta Do Sol,PT,70.0,clear sky,32.6667,-17.1,Hotel do Campo
205,Mahon,ES,73.96,clear sky,39.8885,4.2658,ARTIEM Capri
211,Nelson Bay,AU,67.08,clear sky,-32.7167,152.15,Mantra Nelson Bay
213,Lorengau,PG,83.08,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
214,Aranda De Duero,ES,70.21,clear sky,41.6704,-3.6892,Hotel Villa de Aranda
215,Isla Mujeres,MX,84.16,scattered clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
220,Charters Towers,AU,79.3,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
221,Bud,US,75.22,clear sky,39.447,-86.1758,Ted McQuinn Trust
222,Mingoyo,TZ,77.0,clear sky,-10.1,39.6333,CHIMBENDE LODGE
223,Yulara,AU,78.64,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
225,Colwyn Bay,GB,67.75,moderate rain,53.2948,-3.7267,Bryn Woodlands House
226,Nador,MA,79.05,scattered clouds,35.174,-2.9287,Hôtel La Giralda
227,Shintomi,JP,85.32,broken clouds,32.0785,131.4723,ホテルスイート
228,Jaru,BR,74.08,broken clouds,-10.4389,-62.4664,Hotel Paraná
