City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
128,Presidencia Roque Saenz Pena,AR,2022-07-20 21:10:08,-26.7852,-60.4388,80.42,49,16,6.71
129,Guerrero Negro,MX,2022-07-20 21:10:08,27.9769,-114.0611,84.29,42,16,14.9
130,Richards Bay,ZA,2022-07-20 21:05:33,-28.783,32.0377,63.16,89,12,6.51
131,Port Hawkesbury,CA,2022-07-20 21:09:53,45.6169,-61.3485,77.92,64,18,15.01
132,Bardejov,SK,2022-07-20 21:09:32,49.2918,21.2727,67.01,65,0,4.45
133,Sao Joao Da Barra,BR,2022-07-20 21:05:25,-21.6403,-41.0511,73.49,86,11,11.32
134,Sungaipenuh,ID,2022-07-20 21:10:09,-2.0833,101.3833,62.38,96,93,1.66
135,Yeniseysk,RU,2022-07-20 21:10:10,58.4497,92.1703,51.03,99,15,4.14
136,Pocosol,CR,2022-07-20 21:10:10,10.3667,-84.6167,78.28,95,100,4.59
137,Kruisfontein,ZA,2022-07-20 21:10:11,-34.0033,24.7314,53.89,91,95,4.05
138,West Bay,KY,2022-07-20 21:10:11,19.3667,-81.4167,89.67,66,20,6.91
139,Wanaka,NZ,2022-07-20 21:10:12,-44.7,169.15,36.1,95,100,1.99
140,Ust-Kuyga,RU,2022-07-20 21:10:12,70.0167,135.6,48.2,63,2,3.71
141,Santa Vitoria Do Palmar,BR,2022-07-20 21:06:20,-33.5189,-53.3681,57.02,94,0,6.35
142,Alice Springs,AU,2022-07-20 21:11:13,-23.7,133.8833,33.35,75,0,0.0
143,Narsaq,GL,2022-07-20 21:11:13,60.9167,-46.05,57.42,82,94,3.15
144,Tessalit,ML,2022-07-20 21:11:14,20.1986,1.0114,75.33,67,99,19.44
145,Banda Aceh,ID,2022-07-20 21:11:14,5.5577,95.3222,80.17,72,100,15.03
146,Torbay,CA,2022-07-20 21:11:15,47.6666,-52.7314,68.4,78,84,5.99
147,Pacific Grove,US,2022-07-20 21:10:00,36.6177,-121.9166,82.24,85,20,11.5
148,Avarua,CK,2022-07-20 21:11:16,-21.2078,-159.775,75.25,69,75,14.97
149,Husavik,IS,2022-07-20 21:09:35,66.0449,-17.3389,45.75,89,100,6.58
150,Esperance,AU,2022-07-20 21:11:07,-33.8667,121.9,61.79,52,100,18.66
151,Lebu,CL,2022-07-20 21:11:17,-37.6167,-73.65,53.04,96,100,11.03
152,Lompoc,US,2022-07-20 21:08:28,34.6391,-120.4579,93.34,63,0,16.11
153,Clyde River,CA,2022-07-20 21:11:18,70.4692,-68.5914,37.83,89,100,1.66
154,Aracruz,BR,2022-07-20 21:11:18,-19.8203,-40.2733,72.61,91,1,3.89
155,Camacha,PT,2022-07-20 21:11:19,33.0833,-16.3333,69.22,73,75,10.36
156,Reforma,MX,2022-07-20 21:11:19,18.1,-91.0167,95.27,40,26,5.88
